input, magic
1.018259e-05, 0x5F309CF5
2.922150e-28, 0x5F313E26
1.222835e-11, 0x5F3759DF
3.816986e-24, 0x5F3759DF
5.307600e-09, 0x5F30BFA7
7.976178e-32, 0x5F2DBB01
3.153781e-16, 0x5F32EE41
9.989684e-30, 0x5F36ADFE
2.186359e-28, 0x5F3D3C89
1.248234e-28, 0x5F308947
2.006876e-36, 0x5F312F2D
7.271403e-07, 0x5F327E1C
8.603750e-13, 0x5F3C0852
3.735161e-36, 0x5F355FF2
2.863278e-07, 0x5F368A29
8.433840e-22, 0x5F408DE8
6.635272e-19, 0x5F34D851
2.412818e-32, 0x5F33DCC5
2.513189e-27, 0x5F34C6EC
5.574307e-35, 0x5F3759DF
6.460933e-33, 0x5F339DD0
2.187337e-19, 0x5F4000E8
1.519287e-15, 0x5F2EB86D
5.528867e-03, 0x5F2F7F04
2.711196e-13, 0x5F3759DF
1.033920e-07, 0x5F305538
2.650817e-11, 0x5F31F995
1.694831e-35, 0x5F32CBA4
1.509820e-29, 0x5F3759DF
3.083229e-23, 0x5F323569
3.621983e-08, 0x5F3336DD
5.299422e-03, 0x5F327A33
5.966881e-37, 0x5F35C487
1.600940e-04, 0x5F32C572
1.243381e-16, 0x5F353FF7
4.278264e-15, 0x5F35F292
3.996278e-21, 0x5F3759DF
1.359231e-22, 0x5F3347E8
6.792487e-02, 0x5F3B0C0E
8.803816e-30, 0x5F32544E
1.960326e-23, 0x5F2F8FDB
4.312426e-09, 0x5F3759DF
8.898588e-27, 0x5F3241B2
1.695221e-14, 0x5F362D41
6.004242e-08, 0x5F399A5C
2.124449e-08, 0x5F2FCEA9
7.602600e-03, 0x5F35669B
7.862138e-23, 0x5F2FDFD8
2.816210e-11, 0x5F33C09C
8.645237e-12, 0x5F32D913
8.413197e-17, 0x5F324D5F
5.305471e-04, 0x5F32867E
9.069058e-18, 0x5F32A288
3.623454e-35, 0x5F32B836
9.835076e-17, 0x5F3193FB
7.084797e-30, 0x5F32D311
7.451071e-19, 0x5F381753
4.734896e-22, 0x5F34D3CC
7.403762e-09, 0x5F358F8A
1.941820e-02, 0x5F3521A1
2.670935e-17, 0x5F3759DF
1.257176e-04, 0x5F3432D4
1.325985e-09, 0x5F32A0F8
8.488275e-15, 0x5F321394
3.789791e-21, 0x5F392874
1.847546e-30, 0x5F301746
8.762625e-20, 0x5F2E24BE
5.107442e-08, 0x5F377F37
1.144572e-23, 0x5F3759DF
5.501624e-03, 0x5F31E413
1.388445e-15, 0x5F2FD574
4.071452e-33, 0x5F352CBA
5.448731e-35, 0x5F3AB995
1.050372e-29, 0x5F366187
2.353673e-31, 0x5F36CAE3
2.122246e-15, 0x5F3328DD
9.774270e-19, 0x5F38E036
3.808707e-38, 0x5F3759DF
1.602019e-19, 0x5F342D72
1.911889e-16, 0x5F38BDFF
2.557356e-18, 0x5F33324D
4.497026e-23, 0x5F3759DF
3.796443e-10, 0x5F311ABE
8.736678e-24, 0x5F32B874
4.424846e-20, 0x5F3759DF
3.429008e-10, 0x5F3189F0
1.197532e-21, 0x5F3126BE
2.578399e-26, 0x5F35953A
1.811400e-16, 0x5F3759DF
7.227229e-10, 0x5F367578
1.987212e-06, 0x5F32B8A1
2.514988e-24, 0x5F36A96E
1.075943e-34, 0x5F326B01
1.138613e-29, 0x5F3A22C4
1.819528e-31, 0x5F3E0623
5.198192e-12, 0x5F31826D
1.232899e-06, 0x5F330B00
3.367698e-26, 0x5F32935D
1.745670e-07, 0x5F332863
2.627309e-21, 0x5F341D9C
3.358960e-17, 0x5F32A73F
5.146572e-01, 0x5F341DE8
4.570810e-38, 0x5F3D8403
1.847822e-10, 0x5F353A95
2.033161e-01, 0x5F3607E2
2.240788e-18, 0x5F3284F3
1.306766e-34, 0x5F327DDA
1.744925e-23, 0x5F33032C
2.851516e-31, 0x5F318A79
4.830449e-20, 0x5F39A3BD
1.239369e-15, 0x5F32A497
1.421329e-18, 0x5F2EAEAC
1.189808e-37, 0x5F322276
8.382559e-11, 0x5F33C527
5.093589e-33, 0x5F2CF64C
4.119880e-19, 0x5F337831
5.783521e-12, 0x5F2FB386
1.603109e-22, 0x5F33370C
1.392785e-22, 0x5F311FBD
9.527256e-07, 0x5F3DFB04
5.893123e-03, 0x5F307B12
1.429317e-21, 0x5F3125FD
3.013389e-19, 0x5F30A81B
3.533070e-03, 0x5F3920DC
4.352070e-11, 0x5F31CBBF
1.742692e-22, 0x5F3759DF
1.847692e-30, 0x5F30E28D
1.196311e-35, 0x5F3F2E78
3.835262e-12, 0x5F3D5CB4
2.103951e-34, 0x5F3C422A
5.825453e-17, 0x5F3C997D
4.381687e-28, 0x5F33D3AD
6.543186e-30, 0x5F341BA1
4.802123e-31, 0x5F341E79
7.810579e-20, 0x5F30A48D
4.346247e-38, 0x5F3AE0DD
1.405922e-01, 0x5F3452EF
9.122792e-21, 0x5F321B73
2.963423e-38, 0x5F334ADF
2.061327e-34, 0x5F3869C3
2.196298e-12, 0x5F32F2D3
1.769491e-20, 0x5F3759DF
3.358678e-22, 0x5F304966
4.523596e-20, 0x5F374742
8.612504e-31, 0x5F3AF357
7.142306e-18, 0x5F33D40F
8.903282e-26, 0x5F3319A8
8.395675e-23, 0x5F317820
2.609200e-32, 0x5F338B08
1.106895e-10, 0x5F33B5F1
2.704274e-31, 0x5F3207FC
6.784462e-08, 0x5F3759DF
3.486375e-30, 0x5F3BCC45
1.767156e-02, 0x5F3AD32B
4.953740e-27, 0x5F3031A3
4.865953e-35, 0x5F3BF558
3.300564e-11, 0x5F2F0AC6
2.917136e-17, 0x5F3368E5
1.190485e-25, 0x5F31AED6
4.326015e-33, 0x5F31ECC4
5.482887e-14, 0x5F3E3A53
3.247607e-25, 0x5F36FDFF
4.047273e-04, 0x5F306AF4
1.854845e-34, 0x5F3FC744
2.908926e-31, 0x5F32FCB4
5.665767e-09, 0x5F34C56D
9.801787e-13, 0x5F3E1863
1.464574e-07, 0x5F3064CF
3.871676e-21, 0x5F377E09
2.285020e-01, 0x5F3A76B6
1.484556e-26, 0x5F386A5C
2.172312e-08, 0x5F31AB37
7.145380e-04, 0x5F346FEA
9.706889e-28, 0x5F3759DF
7.167692e-32, 0x5F3300AC
1.911299e-05, 0x5F3759DF
5.522629e-36, 0x5F2F0F37
5.115205e-28, 0x5F3759DF
1.413845e-15, 0x5F32D151
7.985482e-18, 0x5F302FE1
1.161749e-09, 0x5F36B2E7
1.834772e-31, 0x5F3C83D7
1.491362e-22, 0x5F33037D
6.364808e-24, 0x5F32EF6A
9.526779e-19, 0x5F3759DF
1.810384e-28, 0x5F377300
3.611675e-32, 0x5F3759DF
1.414483e-15, 0x5F3000FA
5.991128e-11, 0x5F3F15E3
1.394296e-04, 0x5F3290DE
