input,reference,initial,final,iters,magic_number
0.596202,1.295100,1.350464,1.295085,2,0x5F392C56
0.471173,1.456833,1.549663,1.456749,2,0x5F3EFA20
1.517853,0.811681,0.837858,0.811678,2,0x5F37A25F
0.028273,5.947255,5.919065,5.947055,1,0x5F313705
0.901449,1.053245,1.086349,1.053241,2,0x5F3E7031
0.312839,1.787884,1.768104,1.787557,1,0x5F32677A
0.882663,1.064394,1.113840,1.064377,2,0x5F3F8D6B
1.009576,0.995246,0.957110,0.995239,2,0x5F35A20E
0.436459,1.513660,1.565032,1.513653,2,0x5F380EC2
0.018802,7.292788,7.399352,7.292787,2,0x5F39CB37
0.161220,2.490525,2.615662,2.490469,2,0x5F39F266
0.057697,4.163164,4.085880,4.163162,2,0x5F38E95C
0.053238,4.334000,4.294970,4.333475,1,0x5F367876
0.658440,1.232372,1.330701,1.232195,2,0x5F3E9C2B
0.185941,2.319062,2.338537,2.318816,1,0x5F34DE41
0.426800,1.530692,1.592492,1.530678,2,0x5F391986
0.039888,5.006987,5.380819,5.006437,2,0x5F3DE0B3
0.518604,1.388616,1.397389,1.388533,1,0x5F353F3F
0.337896,1.720317,1.702862,1.720052,1,0x5F3077B8
1.839810,0.737248,0.753426,0.736711,1,0x5F369FFD
0.066524,3.877144,3.916019,3.876558,1,0x5F3EBED6
0.160025,2.499802,2.565291,2.499798,2,0x5F361C93
0.060351,4.070602,3.932349,4.070584,2,0x5F3744C9
0.166316,2.452072,2.640044,2.451772,2,0x5F3E1DD4
0.139734,2.675156,2.645928,2.674678,1,0x5F30E215
0.056657,4.201193,4.332068,4.201180,2,0x5F3EA8F6
0.344966,1.702597,1.707946,1.702572,1,0x5F32EDAC
0.137994,2.691969,2.867311,2.691798,2,0x5F3E2929
0.121064,2.874037,3.048792,2.873899,2,0x5F3F17A2
0.167361,2.444403,2.506584,2.444399,2,0x5F361C3B
0.088923,3.353451,3.528132,3.353365,2,0x5F3CDBA3
0.014067,8.431468,8.613414,8.431462,2,0x5F3D0CA4
0.157654,2.518533,2.568534,2.518532,2,0x5F351AE1
0.030408,5.734675,5.683784,5.734000,1,0x5F326E3E
0.489436,1.429394,1.485880,1.429382,2,0x5F3B7CFE
1.095811,0.955283,0.945489,0.955133,1,0x5F382D50
1.576135,0.796532,0.839372,0.796509,2,0x5F3BC076
0.081454,3.503838,3.475975,3.503506,1,0x5F31DF06
0.780017,1.132265,1.118321,1.132008,1,0x5F32FCBD
0.295389,1.839936,1.802984,1.838831,1,0x5F3266CF
1.596551,0.791423,0.844171,0.791368,2,0x5F3E497B
0.035019,5.343749,5.308216,5.343395,1,0x5F31951F
0.023399,6.537355,6.779814,6.537313,2,0x5F38CBC8
0.161280,2.490060,2.536050,2.490059,2,0x5F34E1EC
0.331429,1.737019,1.821661,1.736985,2,0x5F3E04BC
0.200955,2.230750,2.302863,2.230742,2,0x5F3A45A4
1.920368,0.721619,0.763605,0.721590,2,0x5F3E62ED
0.032676,5.532044,5.792477,5.531949,2,0x5F3C479A
1.362479,0.856712,0.850745,0.856650,1,0x5F30FD4E
0.101998,3.131145,3.305447,3.131040,2,0x5F3BFEB8
0.154032,2.547970,2.694417,2.547873,2,0x5F3B4EA2
0.057402,4.173831,3.924698,4.173660,2,0x5F30BDA7
0.048075,4.560810,4.787243,4.560713,2,0x5F3BA60D
0.120261,2.883611,2.947707,2.883609,2,0x5F37CD0E
0.218103,2.141260,2.127806,2.141134,1,0x5F37D920
0.259870,1.961651,1.982271,1.961325,1,0x5F4041EA
0.335729,1.725860,1.788517,1.725849,2,0x5F3AE07C
0.015831,7.947682,7.510032,7.947445,2,0x5F312A97
0.124032,2.839447,2.844559,2.839433,1,0x5F350F66
0.760379,1.146792,1.192387,1.146783,2,0x5F39F441
0.163088,2.476219,2.592296,2.476178,2,0x5F39686F
0.136984,2.701878,2.674749,2.701471,1,0x5F3151CE
0.013083,8.742881,9.259099,8.742509,2,0x5F3F5144
1.483901,0.820914,0.848452,0.820910,2,0x5F382C5E
0.059296,4.106647,3.852725,4.106453,2,0x5F300337
0.627721,1.262167,1.295609,1.262164,2,0x5F362FAC
0.742490,1.160525,1.195273,1.160522,2,0x5F38089E
1.193027,0.915535,0.911833,0.915512,1,0x5F35C871
0.097340,3.205191,3.438900,3.204870,2,0x5F3FC419
0.209966,2.182357,2.249208,2.182351,2,0x5F3B73A5
0.772487,1.137770,1.184102,1.137759,2,0x5F3A7182
0.322053,1.762123,1.785995,1.761636,1,0x5F370D8B
0.014591,8.278608,8.364277,8.278608,2,0x5F3D5BA4
0.012740,8.859794,9.273668,8.859648,2,0x5F3CBDA3
0.037087,5.192673,5.632622,5.191721,2,0x5F40328D
0.234695,2.064181,2.013785,2.064179,2,0x5F390BD6
0.301621,1.820829,1.776051,1.820826,2,0x5F308CB2
0.053102,4.339567,4.247663,4.339564,2,0x5F34AD5B
0.013748,8.528671,8.438748,8.528671,2,0x5F37A49B
1.773647,0.750873,0.770855,0.750068,1,0x5F36DA33
1.165686,0.926210,0.932538,0.926145,1,0x5F395564
0.024053,6.447801,6.438673,6.447782,1,0x5F308F70
1.733299,0.759562,0.769654,0.759360,1,0x5F33F66C
0.270533,1.922605,1.959463,1.921538,1,0x5F401157
0.040317,4.980299,5.377752,4.979583,2,0x5F3EA84E
1.551701,0.802779,0.801564,0.802776,1,0x5F308260
1.530563,0.808303,0.840918,0.808296,2,0x5F393B24
0.125145,2.826791,2.865611,2.825987,1,0x5F377924
1.467369,0.825525,0.830583,0.825479,1,0x5F328A75
0.123023,2.851059,2.926393,2.851054,2,0x5F3943DE
0.168753,2.434300,2.621966,2.433995,2,0x5F3E351D
0.030714,5.706045,6.059172,5.705751,2,0x5F3FB232
0.503074,1.409886,1.485857,1.409844,2,0x5F3E9550
0.033203,5.488005,5.679038,5.487977,2,0x5F39BA5C
0.470892,1.457268,1.437627,1.456873,1,0x5F309088
1.146044,0.934113,0.954956,0.933410,1,0x5F3DD0CC
0.723152,1.175940,1.225797,1.175927,2,0x5F39772F
0.082047,3.491146,3.554506,3.491144,2,0x5F378136
0.861915,1.077129,1.104275,1.076095,1,0x5F3BAC1E
0.630000,1.259882,1.322003,1.259856,2,0x5F39DB3B
0.017073,7.653184,7.321116,7.653095,2,0x5F303529
0.843485,1.088833,1.083431,1.088793,1,0x5F36A52C
0.676880,1.215470,1.205347,1.215344,1,0x5F30ECCE
0.900091,1.054039,1.048045,1.053988,1,0x5F395C83
0.631034,1.258849,1.267154,1.258766,1,0x5F32F7D6
0.937852,1.032602,1.043790,1.032419,1,0x5F3DA66D
0.087575,3.379162,3.495548,3.379145,2,0x5F39646C
1.747356,0.756501,0.767750,0.756249,1,0x5F345FF0
0.050292,4.459126,4.777435,4.458717,2,0x5F3FE057
0.178393,2.367616,2.482406,2.367571,2,0x5F3A3608
0.407193,1.567110,1.622825,1.567102,2,0x5F37F68C
0.368690,1.646907,1.760214,1.646777,2,0x5F3FB131
0.106121,3.069722,3.295152,3.069406,2,0x5F3F8ECD
0.194380,2.268160,2.407918,2.268045,2,0x5F3DA12A
0.433587,1.518665,1.589013,1.518641,2,0x5F3A6450
0.017501,7.559042,7.386907,7.559036,2,0x5F3410D2
1.706075,0.765598,0.805516,0.765579,2,0x5F3B66A7
0.180295,2.355096,2.510163,2.354940,2,0x5F3CF616
0.681391,1.211439,1.246163,1.211437,2,0x5F36BA1B
0.033253,5.483878,5.817951,5.483613,2,0x5F3E468C
0.064707,3.931185,3.759048,3.931137,2,0x5F32D6DF
0.025911,6.212329,6.330264,6.212326,2,0x5F34B39B
0.050143,4.465732,4.784739,4.465322,2,0x5F3FCE36
0.113339,2.970375,3.040096,2.970371,2,0x5F369FF4
0.214565,2.158841,2.207955,2.158839,2,0x5F3B2A96
0.015738,7.971132,7.991873,7.971051,1,0x5F40344F
0.658408,1.232402,1.330354,1.232228,2,0x5F3E8FC1
0.012971,8.780429,9.097438,8.780377,2,0x5F3BD0F5
0.080896,3.515910,3.642045,3.515890,2,0x5F3BED8B
0.220258,2.130760,2.162946,2.130028,1,0x5F3B334F
0.012975,8.778989,9.014440,8.778974,2,0x5F3A85EB
0.119766,2.889569,2.910738,2.889335,1,0x5F34ED82
1.535487,0.807006,0.847402,0.806989,2,0x5F3B34BC
0.264187,1.945560,1.862112,1.945538,2,0x5F31FB68
0.335793,1.725697,1.791061,1.725685,2,0x5F3B37FA
0.156047,2.531466,2.659414,2.531409,2,0x5F3A193F
0.043145,4.814342,5.084738,4.814175,2,0x5F3B125A
0.313784,1.785190,1.817443,1.784311,1,0x5F38F622
0.073715,3.683172,3.683204,3.683172,1,0x5F373591
0.281671,1.884208,1.900775,1.883988,1,0x5F3B6836
0.024732,6.358689,6.501934,6.358684,2,0x5F355D8E
0.015330,8.076735,8.000114,8.075649,1,0x5F3D94C7
0.123543,2.845056,2.934453,2.845047,2,0x5F3A5026
0.079315,3.550770,3.676523,3.550751,2,0x5F3C8414
0.038496,5.096756,5.482341,5.096166,2,0x5F3E462D
0.019190,7.218728,7.371746,7.218723,2,0x5F3A7FB0
0.514314,1.394395,1.457818,1.394374,2,0x5F3C6ECF
0.117660,2.915311,2.995172,2.915305,2,0x5F382CDC
0.019422,7.175429,7.024884,7.175425,2,0x5F3059C6
1.158838,0.928942,0.941909,0.928669,1,0x5F3B4B5D
1.050725,0.975563,0.963173,0.975328,1,0x5F39D191
0.086282,3.404389,3.443601,3.403709,1,0x5F34BE57
0.023213,6.563509,6.901295,6.563348,2,0x5F3BEBD0
0.079846,3.538941,3.523088,3.538835,1,0x5F333D6D
0.744819,1.158709,1.148789,1.158582,1,0x5F3261C3
0.029571,5.815256,5.718482,5.815254,2,0x5F301CFB
1.439411,0.833504,0.878014,0.833480,2,0x5F3CE4D7
1.377191,0.852124,0.872053,0.851420,1,0x5F3762C2
0.082552,3.480449,3.657386,3.480368,2,0x5F3E9B36
0.135750,2.714123,2.752757,2.713294,1,0x5F35AE3D
0.028878,5.884578,5.970633,5.884577,2,0x5F35585C
0.017681,7.520462,7.599039,7.520461,2,0x5F3B9761
0.157787,2.517468,2.662682,2.517371,2,0x5F3B32DF
0.041679,4.898257,5.244032,4.897828,2,0x5F3D2AE4
0.028291,5.945313,6.035851,5.945312,2,0x5F35071C
0.197423,2.250616,2.340922,2.250595,2,0x5F3AE643
0.045110,4.708299,4.810304,4.708295,2,0x5F365097
0.229225,2.088666,2.098755,2.088593,1,0x5F3BAEF9
0.047786,4.574577,4.508488,4.574576,2,0x5F322303
0.013038,8.757849,8.690560,8.757075,1,0x5F35DAD5
0.020826,6.929377,7.255806,6.929258,2,0x5F3D7D7F
0.487312,1.432505,1.506624,1.432470,2,0x5F3D998C
0.036643,5.224046,5.537913,5.223807,2,0x5F3C41D9
0.092895,3.280977,3.491260,3.280782,2,0x5F3E90C1
0.932964,1.035303,1.056196,1.034666,1,0x5F3E9CCC
0.015381,8.063220,7.943920,8.063219,2,0x5F3C34C3
0.074441,3.665164,3.655813,3.665128,1,0x5F363328
0.012544,8.928480,9.386597,8.928265,2,0x5F3CF2B6
0.016420,7.804037,7.655378,7.804033,2,0x5F383A02
1.094049,0.956052,0.943679,0.955813,1,0x5F3799D6
0.056214,4.217704,4.059924,4.217677,2,0x5F350B72
0.216557,2.148888,2.154639,2.148865,1,0x5F38C632
0.210666,2.178725,2.100595,2.178714,2,0x5F324C99
0.423637,1.536396,1.632888,1.536312,2,0x5F3D75F5
0.835944,1.093733,1.086216,1.093656,1,0x5F36095E
0.297312,1.833975,1.813322,1.833628,1,0x5F343799
0.043315,4.804876,5.170000,4.804309,2,0x5F3E2608
0.027766,6.001235,6.408255,6.000788,2,0x5F3ECB8B
0.220943,2.127452,2.207708,2.127437,2,0x5F3E6A8B
0.065250,3.914800,3.832403,3.914798,2,0x5F381700
0.022238,6.705751,6.886636,6.705739,2,0x5F37760E
0.127923,2.795922,2.766083,2.795446,1,0x5F3286AF
0.632839,1.257052,1.356347,1.256879,2,0x5F3E9DAA
0.056219,4.217549,4.060662,4.217523,2,0x5F3513A7
0.590297,1.301562,1.394628,1.301442,2,0x5F3E1204
0.198915,2.242160,2.262496,2.241883,1,0x5F36A4E1
0.058714,4.126967,3.968411,4.126937,2,0x5F36393C
0.073775,3.681685,3.631841,3.680677,1,0x5F33FBA4
0.901393,1.053278,1.071491,1.052803,1,0x5F3C8776
0.040180,4.988766,5.333314,4.988366,2,0x5F3CF496
0.014628,8.268268,8.171399,8.268267,2,0x5F3A9233
0.090804,3.318540,3.321851,3.318535,1,0x5F3194FD
0.012511,8.940425,8.692535,8.940408,2,0x5F319196
0.150476,2.577900,2.778160,2.577568,2,0x5F3ED896
0.028074,5.968280,6.034466,5.967175,1,0x5F3417E3
0.014289,8.365678,8.036568,8.365612,2,0x5F35A3B3
0.033812,5.438313,5.443769,5.438305,1,0x5F33729D
0.998189,1.000907,0.969823,1.000904,2,0x5F380AF0
0.046398,4.642461,4.824572,4.642424,2,0x5F39690A
0.152462,2.561055,2.596605,2.560312,1,0x5F343E4B
1.471835,0.824272,0.827118,0.824257,1,0x5F31F088
0.103715,3.105124,3.185801,3.105120,2,0x5F361871
1.814098,0.742454,0.788597,0.742415,2,0x5F3DFBA9
1.911835,0.723227,0.723542,0.723227,1,0x5F33958D
0.085906,3.411838,3.573117,3.411779,2,0x5F3CA5AE
0.015665,7.989659,7.829075,7.989655,2,0x5F3AB239
0.015577,8.012357,7.985472,8.012221,1,0x5F3F23FE
0.289593,1.858259,1.868228,1.858178,1,0x5F3944DA
0.180028,2.356839,2.402957,2.356838,2,0x5F35F6B0
0.694926,1.199584,1.180692,1.199140,1,0x5F30143C
0.018266,7.399003,7.617051,7.398983,2,0x5F3E909F
0.334533,1.728943,1.751459,1.728501,1,0x5F35D3C4
0.109904,3.016426,3.208281,3.016253,2,0x5F3DDF38
0.386258,1.609018,1.617887,1.608945,1,0x5F31F8C0
0.329612,1.741800,1.749739,1.741745,1,0x5F3458EB
0.051268,4.416503,4.680054,4.416306,2,0x5F3EC1FC
0.043180,4.812358,5.061517,4.812238,2,0x5F3A66C8
0.130691,2.766164,2.898868,2.766113,2,0x5F3C70ED
0.215274,2.155281,2.193341,2.154267,1,0x5F3A9820
1.867717,0.731719,0.765938,0.731707,2,0x5F3B9D2B
0.283732,1.877354,1.931396,1.877350,2,0x5F3FDA9C
0.035188,5.330894,5.420660,5.330892,2,0x5F3586EC
0.256778,1.973426,1.898664,1.973412,2,0x5F34C3AA
0.155339,2.537231,2.653782,2.537192,2,0x5F396020
0.139818,2.674356,2.762389,2.674345,2,0x5F386128
0.056288,4.214930,4.373574,4.214900,2,0x5F3F3BAE
0.015323,8.078481,7.648106,8.078270,2,0x5F3243B5
0.062890,3.987593,3.940162,3.986750,1,0x5F3C91B9
0.226703,2.100254,2.126199,2.099771,1,0x5F3C25FE
0.120401,2.881942,2.893834,2.881868,1,0x5F347EEE
0.012521,8.936742,9.596300,8.935804,2,0x5F401D0A
0.083034,3.470340,3.455500,3.470245,1,0x5F322DC6
0.031543,5.630524,5.745708,5.630520,2,0x5F387670
0.166237,2.452651,2.649339,2.452291,2,0x5F3EABD5
0.169778,2.426939,2.442487,2.426790,1,0x5F333EE2
0.134191,2.729846,2.719938,2.729792,1,0x5F32C828
0.018977,7.259098,7.278090,7.259024,1,0x5F36A145
0.050310,4.458340,4.709977,4.458182,2,0x5F3DC104
0.030245,5.750036,6.124315,5.749673,2,0x5F3FDCF4
0.021349,6.844022,7.084537,6.843986,2,0x5F3A268E
0.543310,1.356676,1.385369,1.355759,1,0x5F36DEF4
0.029195,5.852518,5.922550,5.852517,2,0x5F351B23
0.255132,1.979783,1.867423,1.979716,2,0x5F30580E
0.613509,1.276702,1.291143,1.276456,1,0x5F33CB9D
0.445321,1.498523,1.533710,1.498521,2,0x5F36512C
1.407095,0.843021,0.865331,0.842127,1,0x5F379432
0.581287,1.311610,1.371478,1.311590,2,0x5F39F433
0.455811,1.481179,1.487143,1.481143,1,0x5F330ABD
0.131355,2.759160,2.943078,2.758968,2,0x5F3F9C56
0.166148,2.453309,2.598720,2.453203,2,0x5F3B62CA
0.514240,1.394495,1.435437,1.394492,2,0x5F398F05
0.036373,5.243343,5.534894,5.243168,2,0x5F3B9BF8
0.037928,5.134759,5.424042,5.134578,2,0x5F3B3EF2
1.725947,0.761178,0.768609,0.761069,1,0x5F33397F
0.360509,1.665489,1.699101,1.664464,1,0x5F35C67A
1.117471,0.945980,0.922446,0.945109,1,0x5F33AA0B
0.029581,5.814258,5.959441,5.814250,2,0x5F37DD92
0.813381,1.108800,1.073527,1.108796,2,0x5F31862B
0.869209,1.072600,1.019093,1.072578,2,0x5F31B3E1
0.204070,2.213660,2.129920,2.213645,2,0x5F30CC68
1.814538,0.742364,0.739178,0.742344,1,0x5F315C2D
0.064850,3.926853,3.863315,3.926852,2,0x5F39A89E
1.814018,0.742470,0.757115,0.742034,1,0x5F35EB33
0.035840,5.282232,5.683193,5.281612,2,0x5F3F4311
0.159792,2.501630,2.680806,2.501397,2,0x5F3D6287
