input, method, guess, after_one, final, iters
1.609903e-02,optimal_grid,6.939321e+00,7.884353e+00,7.756992e+00,95
1.609903e-02,Moroz,7.670895e+00,7.879729e+00,7.879729e+00,1
2.507735e-02,Blinn,6.790100e+00,6.291604e+00,6.313283e+00,2
2.507735e-02,QuakeIII,6.519820e+00,6.304701e+00,6.314770e+00,2
2.507735e-02,withoutDiv,6.596750e+00,6.295629e+00,6.314707e+00,2
2.507735e-02,optimal_grid,5.790096e+00,6.311697e+00,6.215162e+00,95
2.507735e-02,Moroz,6.521671e+00,6.310249e+00,6.320342e+00,95
7.468561e-02,Blinn,3.805030e+00,3.659605e+00,3.659605e+00,1
7.468561e-02,QuakeIII,3.669891e+00,3.659114e+00,3.659114e+00,1
7.468561e-02,withoutDiv,3.708356e+00,3.658165e+00,3.658165e+00,1
7.468561e-02,optimal_grid,3.305029e+00,3.660732e+00,3.660732e+00,1
7.468561e-02,Moroz,3.670816e+00,3.662332e+00,3.662376e+00,95
2.437305e-01,Blinn,2.050156e+00,2.026613e+00,2.026613e+00,1
2.437305e-01,QuakeIII,1.957508e+00,2.022169e+00,2.025552e+00,2
2.437305e-01,withoutDiv,1.976741e+00,2.023809e+00,2.023809e+00,1
2.437305e-01,optimal_grid,1.775077e+00,2.025895e+00,2.025895e+00,1
2.437305e-01,Moroz,1.957971e+00,2.023935e+00,2.023935e+00,1
1.404764e-01,Blinn,2.876189e+00,2.657080e+00,2.667353e+00,2
1.404764e-01,QuakeIII,2.741049e+00,2.665056e+00,2.668072e+00,2
1.404764e-01,withoutDiv,2.779514e+00,2.660998e+00,2.668049e+00,2
1.404764e-01,optimal_grid,2.376187e+00,2.669795e+00,2.669795e+00,1
1.404764e-01,Moroz,2.741975e+00,2.667388e+00,2.667388e+00,1
7.647526e-02,Blinn,3.776396e+00,3.615543e+00,3.615543e+00,1
7.647526e-02,QuakeIII,3.641256e+00,3.615829e+00,3.615829e+00,1
7.647526e-02,withoutDiv,3.679721e+00,3.614403e+00,3.614403e+00,1
7.647526e-02,optimal_grid,3.276394e+00,3.617169e+00,3.617169e+00,1
7.647526e-02,Moroz,3.642182e+00,3.619011e+00,3.619269e+00,95
1.373324e-01,Blinn,2.901341e+00,2.688569e+00,2.697802e+00,2
1.373324e-01,QuakeIII,2.766201e+00,2.695872e+00,2.698441e+00,2
1.373324e-01,withoutDiv,2.804667e+00,2.692091e+00,2.698422e+00,2
1.373324e-01,optimal_grid,2.401340e+00,2.700167e+00,2.700167e+00,1
1.373324e-01,Moroz,2.767127e+00,2.698233e+00,2.698233e+00,1
1.694136e-01,Blinn,2.644691e+00,2.414803e+00,2.428539e+00,2
1.694136e-01,QuakeIII,2.509551e+00,2.425555e+00,2.429540e+00,2
1.694136e-01,withoutDiv,2.548016e+00,2.420744e+00,2.429502e+00,2
1.694136e-01,optimal_grid,2.144689e+00,2.430702e+00,2.430702e+00,1
1.694136e-01,Moroz,2.510477e+00,2.427668e+00,2.427668e+00,1
2.361412e-01,Blinn,2.110870e+00,2.059090e+00,2.059090e+00,1
2.361412e-01,QuakeIII,1.987865e+00,2.054322e+00,2.057843e+00,2
2.361412e-01,withoutDiv,2.014196e+00,2.056473e+00,2.056473e+00,1
2.361412e-01,optimal_grid,1.805434e+00,2.058312e+00,2.058312e+00,1
2.361412e-01,Moroz,1.988328e+00,2.056116e+00,2.056116e+00,1
3.468372e-02,Blinn,5.780242e+00,5.348762e+00,5.368181e+00,2
3.468372e-02,QuakeIII,5.509963e+00,5.363985e+00,5.369533e+00,2
3.468372e-02,withoutDiv,5.586893e+00,5.356166e+00,5.369492e+00,2
3.468372e-02,optimal_grid,4.780239e+00,5.372984e+00,5.284823e+00,95
3.468372e-02,Moroz,5.511814e+00,5.368681e+00,5.368681e+00,1
2.739130e-02,Blinn,6.493913e+00,6.020477e+00,6.040768e+00,2
2.739130e-02,QuakeIII,6.223634e+00,6.033924e+00,6.042163e+00,2
