input,reference,initial,after_one,final,iters,magic
0.946987,1.027609,0.992829,1.025864,1.027605,2,0x5F3760E7
0.590706,1.301111,1.341939,1.299169,1.301107,2,0x5F3760E8
0.151271,2.571120,2.655123,2.566958,2.571110,2,0x5F3760E9
0.081843,3.495495,3.555799,3.493926,3.495494,2,0x5F3760EA
1.021481,0.989430,0.960952,0.988212,0.989427,2,0x5F3760EB
0.631350,1.258534,1.301296,1.256330,1.258528,2,0x5F3760EC
0.104628,3.091550,3.191245,3.086676,3.091539,2,0x5F3760ED
0.153745,2.550352,2.635335,2.546057,2.550342,2,0x5F3760EE
0.803854,1.115351,1.128792,1.115107,1.115351,2,0x5F3760EF
0.230043,2.084948,2.024945,2.082383,2.084943,2,0x5F3760F0
0.107072,3.056061,3.152139,3.051482,3.056050,2,0x5F3760F1
0.582466,1.310282,1.350180,1.308441,1.310278,2,0x5F3760F2
0.396034,1.589036,1.640579,1.586502,1.589030,2,0x5F3760F3
0.415458,1.551445,1.601730,1.548974,1.551439,2,0x5F3760F4
0.052054,4.383022,4.399141,4.382933,4.382933,1,0x5F3760F5
0.042431,4.854644,5.014990,4.846612,4.854624,2,0x5F3760F6
0.041542,4.906320,5.071894,4.897845,4.906299,2,0x5F3760F7
0.236992,2.054154,1.984678,2.050668,2.054145,2,0x5F3760F8
0.324930,1.754306,1.782788,1.753609,1.754306,2,0x5F3760F9
1.311097,0.873338,0.888549,0.872939,0.873338,2,0x5F3760FA
0.209741,2.183525,2.187365,2.183515,2.183515,1,0x5F3760FB
1.394444,0.846836,0.867713,0.846058,0.846835,2,0x5F3760FC
0.276861,1.900505,1.878925,1.900139,1.900505,2,0x5F3760FD
1.485561,0.820455,0.844933,0.819348,0.820453,2,0x5F3760FE
0.119610,2.891456,2.951538,2.889570,2.891454,2,0x5F3760FF
0.072000,3.726783,3.713298,3.726710,3.726710,1,0x5F376100
1.932415,0.719366,0.733220,0.718963,0.719366,2,0x5F376101
0.042759,4.836003,4.994020,4.828174,4.835984,2,0x5F376102
0.061639,4.027849,3.892857,4.021139,4.027833,2,0x5F376103
0.045320,4.697358,4.830094,4.691679,4.697348,2,0x5F376104
0.095338,3.238678,3.339894,3.233884,3.238667,2,0x5F376105
0.394620,1.591879,1.643407,1.589351,1.591874,2,0x5F376106
0.064392,3.940798,3.835026,3.936577,3.940791,2,0x5F376107
0.541523,1.358913,1.391126,1.357758,1.358911,2,0x5F376108
0.041090,4.933262,5.100863,4.924625,4.933239,2,0x5F376109
0.079762,3.540798,3.589101,3.539805,3.540798,2,0x5F37610A
0.734370,1.166924,1.198279,1.165649,1.166922,2,0x5F37610B
0.054406,4.287247,4.248643,4.286727,4.287247,2,0x5F37610C
0.455569,1.481572,1.521511,1.479943,1.481570,2,0x5F37610D
0.361249,1.663783,1.710152,1.661827,1.663780,2,0x5F37610E
0.047619,4.582570,4.682971,4.579246,4.582566,2,0x5F37610F
0.081527,3.502261,3.560863,3.500782,3.502260,2,0x5F376110
0.074606,3.661114,3.671605,3.661069,3.661069,1,0x5F376111
0.529817,1.373842,1.402833,1.372918,1.373842,2,0x5F376112
0.711148,1.185823,1.221502,1.184197,1.185820,2,0x5F376113
0.100217,3.158845,3.261821,3.153755,3.158833,2,0x5F376114
0.126970,2.806402,2.849543,2.805402,2.806401,2,0x5F376115
0.269000,1.928074,1.894650,1.927209,1.928073,2,0x5F376116
0.279524,1.891430,1.873602,1.891178,1.891430,2,0x5F376117
0.404734,1.571864,1.623182,1.569324,1.571858,2,0x5F376118
0.197430,2.250577,2.285864,2.249743,2.250576,2,0x5F376119
0.204577,2.210915,2.228689,2.210700,2.210700,1,0x5F37611A
0.060402,4.068858,3.932422,4.062073,4.068841,2,0x5F37611B
0.076237,3.621734,3.645507,3.621500,3.621500,1,0x5F37611C
0.045253,4.700872,4.834441,4.695125,4.700861,2,0x5F37611D
0.079473,3.547247,3.593742,3.546329,3.547247,2,0x5F37611E
0.038808,5.076231,5.246917,5.067526,5.076210,2,0x5F37611F
